,losses,errors
360,0.20112602412700653,12.0
361,0.4006451964378357,22.0
362,0.1936456263065338,10.0
363,0.36084726452827454,21.0
364,0.17623645067214966,8.0
365,0.20865894854068756,13.0
366,0.24025557935237885,12.0
367,0.2624831795692444,15.0
368,0.428198903799057,22.0
369,0.20517510175704956,13.0
370,0.25498995184898376,14.0
371,0.20547956228256226,13.0
372,0.47996628284454346,27.0
373,0.2300299108028412,13.0
374,0.3282405734062195,22.0
375,0.3407609462738037,20.0
376,0.29114407300949097,15.0
377,0.1741238534450531,9.0
378,0.23937857151031494,13.0
379,0.29896631836891174,19.0
380,0.18014928698539734,10.0
381,0.20628339052200317,10.0
382,0.27936896681785583,18.0
383,0.2097223997116089,9.0
384,0.33807116746902466,21.0
385,0.2358253300189972,14.0
386,0.3338927626609802,20.0
387,0.25884005427360535,16.0
388,0.31076642870903015,18.0
389,0.3040519952774048,19.0
390,0.2646041214466095,16.0
391,0.3321099877357483,18.0
392,0.21743500232696533,12.0
393,0.3462282717227936,23.0
394,0.17632268369197845,9.0
395,0.2146635800600052,13.0
396,0.2637993097305298,17.0
397,0.34264451265335083,19.0
398,0.4041370153427124,23.0
399,0.3696652054786682,21.0
400,0.22166679799556732,12.0
401,0.2295496016740799,14.0
402,0.21762126684188843,15.0
403,0.22853471338748932,13.0
404,0.26183032989501953,15.0
405,0.20451994240283966,11.0
406,0.230550616979599,14.0
407,0.2623606026172638,18.0
408,0.4002969563007355,22.0
409,0.1803172528743744,9.0
410,0.28263118863105774,14.0
411,0.40084394812583923,25.0
412,0.30271288752555847,19.0
413,0.2898026704788208,18.0
414,0.32612061500549316,19.0
415,0.19504278898239136,12.0
416,0.34440651535987854,20.0
417,0.3987266421318054,23.0
418,0.37353894114494324,18.0
419,0.23037031292915344,14.0
420,0.23464202880859375,15.0
421,0.29408782720565796,17.0
422,0.2978576421737671,18.0
423,0.25003570318222046,15.0
424,0.41810640692710876,24.0
425,0.3136898875236511,16.0
426,0.2000211924314499,10.0
427,0.22630147635936737,15.0
428,0.307214617729187,18.0
429,0.34003108739852905,24.0
430,0.2741294205188751,15.0
431,0.29106569290161133,21.0
432,0.22080779075622559,14.0
433,0.27332985401153564,15.0
434,0.25153812766075134,14.0
435,0.2232581377029419,14.0
436,0.3183385729789734,20.0
437,0.2753205895423889,16.0
438,0.25752606987953186,15.0
439,0.300095796585083,14.0
440,0.24697858095169067,14.0
441,0.31150877475738525,19.0
442,0.48071062564849854,23.0
443,0.3145972788333893,14.0
444,0.27561482787132263,17.0
445,0.2693624198436737,14.0
446,0.3334946632385254,23.0
447,0.3360731899738312,21.0
448,0.232072651386261,13.0
449,0.2143421322107315,14.0
450,0.2611658573150635,18.0
451,0.26685506105422974,14.0
452,0.3486461937427521,17.0
453,0.24724893271923065,16.0
454,0.4661840498447418,30.0
455,0.30057036876678467,16.0
456,0.2744514048099518,19.0
457,0.24796992540359497,13.0
458,0.22249332070350647,13.0
459,0.30829402804374695,16.0
460,0.250286340713501,12.0
461,0.3110496699810028,16.0
462,0.321646511554718,19.0
463,0.34858065843582153,23.0
464,0.2350616604089737,12.0
465,0.3665113151073456,19.0
466,0.21024498343467712,12.0
467,0.2208172082901001,12.0
468,0.2578771412372589,14.0
469,0.2652551829814911,15.0
470,0.23115502297878265,15.0
471,0.26363855600357056,13.0
